Country,City,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
RU,Severnoye,56.3491,78.3619,44.71,45,6,0.94,1619166676
NZ,Bluff,-46.6,168.3333,48.99,95,92,4.0,1619166615
IS,Hofn,64.2539,-15.2082,39.2,81,90,3.44,1619166677
IS,Vestmannaeyjar,63.4427,-20.2734,42.8,87,90,25.32,1619166679
NZ,Te Anau,-45.4167,167.7167,46.9,93,85,2.48,1619166679
AU,Hervey Bay,-25.2986,152.8535,68.0,59,1,1.01,1619166680
ZA,Bredasdorp,-34.5322,20.0403,57.2,94,75,5.75,1619166618
EC,Colimes,-1.55,-80.0167,75.2,83,75,10.36,1619166681
CA,Port Hardy,50.6996,-127.4199,48.2,75,20,2.3,1619166681
AU,Kununurra,-15.7667,128.7333,93.2,24,17,10.36,1619166682
MU,Bambous Virieux,-20.3428,57.7575,82.99,78,75,4.61,1619166682
MY,George Town,5.4112,100.3354,89.6,66,20,8.05,1619166480
CA,Saint-Raymond,45.467,-73.6095,37.4,52,4,4.61,1619166683
US,Blythe,33.6103,-114.5964,66.99,45,1,14.97,1619166683
RU,Ust-Tsilma,65.441,52.1498,44.6,66,95,11.34,1619166684
RU,Magistral'nyy,56.1725,107.4458,41.58,45,18,4.65,1619166684
AO,Mossamedes,-15.1961,12.1522,80.6,83,20,6.91,1619166684
ZA,East London,-33.0153,27.9116,71.6,68,0,10.36,1619166413
CN,Fengrun,39.8333,118.1167,59.49,64,63,13.85,1619166685
RO,Sulina,45.1559,29.6536,57.81,66,100,8.21,1619166686
KE,Chepareria,1.3077,35.2039,74.59,59,81,5.84,1619166687
RU,Nikolskoye,59.7035,30.7861,46.99,65,75,8.95,1619166687
RU,Chadan,51.2833,91.5833,40.59,42,100,12.1,1619166687
CA,Nipawin,53.3668,-104.0009,19.4,63,1,8.05,1619166500
HK,Hong Kong,22.2855,114.1577,87.8,58,20,14.97,1619166474
NA,Ondangwa,-17.9167,15.95,75.2,43,0,9.22,1619166689
MX,Tecolutla,20.4833,-97.0167,73.89,93,99,8.41,1619166689
GL,Ilulissat,69.2167,-51.1,30.2,55,61,4.61,1619166690
US,Saint Paul Harbor,57.79,-152.4072,41.0,87,90,8.05,1619166623
IN,Porbandar,21.6422,69.6093,89.6,62,40,13.8,1619166690
CN,Korla,41.7597,86.1469,50.47,42,100,8.75,1619166691
CN,Mujiayingzi,42.1167,118.7833,63.28,39,42,15.64,1619166692
RU,Bagdarin,54.4333,113.6,37.0,26,16,8.14,1619166692
AO,Lucapa,-8.4192,20.7447,79.2,64,65,4.83,1619166692
PT,Peniche,39.3558,-9.3811,62.01,79,100,8.01,1619166693
FR,Hauterive,46.0901,3.4459,55.4,50,0,2.3,1619166693
UY,Chui,-33.6971,-53.4616,64.72,85,100,9.53,1619166694
TD,Laï,9.3952,16.2989,96.37,29,61,5.39,1619166694
RU,Yar-Sale,66.8333,70.8333,35.26,100,97,15.03,1619166695
US,Fortuna,40.5982,-124.1573,48.99,100,75,4.61,1619166695
TZ,Newala,-10.9431,39.2787,75.25,73,86,3.98,1619166696
US,Bethel,41.3712,-73.414,37.4,52,1,9.22,1619166696
US,Lake City,30.1897,-82.6393,48.0,93,1,3.44,1619166448
BR,Cidreira,-30.1811,-50.2056,67.17,82,55,10.67,1619166697
BR,Tamandaré,-8.7597,-35.1047,77.22,85,19,2.13,1619166697
ZA,Port Alfred,-33.5906,26.891,73.38,64,0,23.13,1619166698
RO,Asău,46.4333,26.4,46.4,76,90,12.66,1619166698
CA,Torbay,47.6666,-52.7314,36.0,86,75,20.71,1619166699
SN,Dakar,14.6937,-17.4441,68.0,94,0,13.8,1619166697
RU,Saskylakh,71.9167,114.0833,16.61,86,100,5.35,1619166700
US,Lexington,37.9887,-84.4777,34.0,86,1,4.61,1619166497
GN,Lola,7.8,-8.5333,72.19,91,100,1.01,1619166702
RU,Talnakh,69.4865,88.3972,34.34,95,89,13.13,1619166616
CA,Iqaluit,63.7506,-68.5145,23.0,93,90,4.61,1619166589
RU,Ostrovnoy,68.0531,39.5131,35.85,85,99,10.07,1619166703
AU,Burnie,-41.0667,145.9167,50.0,75,51,5.01,1619166704
CN,Lichuan,30.3,108.85,59.68,92,100,5.08,1619166705
CV,Praia,14.9215,-23.5087,68.0,77,20,10.36,1619166706
IN,Khūtār,28.2,80.2833,100.11,11,13,8.08,1619166707
TC,Cockburn Town,21.4612,-71.1419,78.19,74,29,16.71,1619166707
CK,Avarua,-21.2078,-159.775,78.8,78,20,17.27,1619166708
RU,Okhotsk,59.3833,143.3,31.39,64,12,19.57,1619166708
US,Hamilton,39.1834,-84.5333,37.0,75,20,3.44,1619166503
CN,Aksu,41.1231,80.2644,61.79,13,2,2.26,1619166709
KE,Garissa,-0.4536,39.6401,91.81,42,79,16.49,1619166710
RU,Lavrentiya,65.5833,-171.0,23.59,69,100,3.18,1619166710
US,College,64.8569,-147.8028,42.8,45,1,9.22,1619166710
TL,Airai,-8.9266,125.4092,64.18,87,68,2.26,1619166711
BR,Camocim,-2.9022,-40.8411,74.75,91,100,5.48,1619166711
BR,São Lourenço do Sul,-31.3653,-51.9783,65.57,86,100,8.9,1619166712
AU,Esperance,-33.8667,121.9,68.0,64,100,10.36,1619166712
MX,Ojinaga,29.5667,-104.4167,66.2,48,1,8.05,1619166713
YE,Yarim,14.298,44.3779,70.29,19,3,5.28,1619166713
MX,Choix,26.7092,-108.3219,62.74,38,73,3.6,1619166713
US,Covington,39.0837,-84.5086,37.0,75,20,3.44,1619166714
OM,Salalah,17.0151,54.0924,86.0,62,0,13.8,1619166439
BR,Manicoré,-5.8092,-61.3003,75.2,100,75,2.3,1619166715
MX,Guerrero Negro,27.9769,-114.0611,59.09,72,31,16.24,1619166647
MX,San Quintín,30.4833,-115.95,57.81,78,67,13.29,1619166716
NO,Vardø,70.3705,31.1107,37.4,60,75,8.05,1619166716
RE,Saint-Leu,-21.15,55.2833,78.8,73,0,6.91,1619166717
RU,Dikson,73.5069,80.5464,32.49,98,100,21.27,1619166717
BR,Imbituba,-28.24,-48.6703,66.2,94,40,5.75,1619166718
RU,Zverinogolovskoye,54.4586,64.8542,56.28,35,100,14.88,1619166718
PT,Ribeira Grande,38.5167,-28.7,55.4,76,40,27.63,1619166719
IS,Olafsvik,64.8945,-23.7142,42.24,90,100,15.32,1619166719
NG,Eruwa,7.5333,3.4167,80.6,78,40,10.36,1619166720
US,Lompoc,34.6391,-120.4579,51.8,76,93,6.91,1619166720
US,Nantucket,41.2835,-70.0995,39.2,48,1,18.41,1619166720
RU,Bilibino,68.0546,166.4372,18.91,88,44,4.47,1619166721
NZ,Dunedin,-45.8742,170.5036,55.99,83,100,8.99,1619166700
CA,Flin Flon,54.7682,-101.865,18.77,79,12,5.35,1619166722
AR,Rawson,-43.3002,-65.1023,55.72,82,69,9.57,1619166722
IR,Urmia,37.5527,45.0761,75.2,23,0,6.91,1619166723
CA,Swan River,52.1058,-101.2676,21.2,68,29,5.75,1619166723
RU,Aykhal,66.0,111.5,30.27,95,99,21.72,1619166723
ID,Banda Aceh,5.5577,95.3222,85.68,65,94,15.3,1619166724
MZ,Quelimane,-17.8786,36.8883,78.8,78,75,4.61,1619166724
IS,Husavik,66.0449,-17.3389,39.2,87,0,1.14,1619166725
MU,Mahébourg,-20.4081,57.7,80.6,78,75,4.61,1619166614
GL,Tasiilaq,65.6145,-37.6368,28.4,69,90,2.28,1619166624
RU,Karpogory,64.0019,44.4451,52.14,56,51,7.05,1619166726
ID,Ternate,0.8,127.4,82.36,77,71,8.7,1619166727
RU,Cherskiy,68.75,161.3,11.61,93,95,7.56,1619166727
US,Hilo,19.7297,-155.09,73.4,73,40,3.44,1619166438
NO,Tromsø,69.6496,18.957,33.8,75,20,6.91,1619166728
RU,Pevek,69.7008,170.3133,20.17,94,95,9.13,1619166728
FR,Arrondissement de Marseille,43.3333,5.5,66.0,67,0,4.61,1619166729
GL,Qaqortoq,60.7167,-46.0333,37.4,70,75,3.44,1619166729
NZ,Kaitangata,-46.2817,169.8464,48.79,93,100,3.0,1619166730
AU,Port Lincoln,-34.7333,135.8667,60.8,63,100,9.55,1619166730
GB,Brae,60.3964,-1.353,46.4,66,20,5.75,1619166730
AR,Córdoba,-31.4135,-64.1811,64.0,100,75,2.3,1619166694
CA,Pangnirtung,66.1451,-65.7125,24.76,83,100,2.66,1619166731
CA,Burgeo,47.6167,-57.6152,35.06,79,84,26.98,1619166732
PH,Bantacan,7.604,126.1298,84.2,75,82,2.24,1619166732
ID,Gorontalo,0.5412,123.0595,83.05,78,51,2.82,1619166732
RU,Talakan,50.3167,130.3667,48.43,25,95,12.01,1619166733
CL,Coquimbo,-29.9533,-71.3436,57.2,88,90,6.91,1619166734
NO,Gravdal,68.1214,13.5031,32.0,93,90,12.66,1619166734
SA,Umluj,25.0213,37.2685,84.74,59,7,13.73,1619166697
PF,Faanui,-16.4833,-151.75,80.83,74,21,14.74,1619166735
PE,Hualmay,-11.0964,-77.6139,65.17,92,1,8.97,1619166664
US,Wasilla,61.5814,-149.4394,39.99,69,1,6.11,1619166735
NZ,Otane,-39.8833,176.6333,59.0,89,96,3.0,1619166736
ID,Katobu,-4.9408,122.5276,79.93,85,61,3.13,1619166736
FR,Plouzané,48.3833,-4.6167,62.6,45,0,13.8,1619166737
RU,Adamovka,51.5223,59.9396,57.13,42,100,14.03,1619166737
RU,Evensk,61.95,159.2333,29.21,98,100,4.45,1619166738
OM,Nizwá,22.9333,57.5333,100.27,7,1,10.63,1619166738
RU,Aksay,47.26,39.87,60.8,59,40,11.18,1619166739
TZ,Mugumu,-1.85,34.7,77.05,59,20,1.41,1619166739
US,Nome,64.5011,-165.4064,37.4,60,1,4.72,1619166492
CL,Lebu,-37.6167,-73.65,50.02,77,2,2.28,1619166741
VU,Isangel,-19.55,169.2667,78.69,87,36,8.66,1619166741
AU,Alice Springs,-23.7,133.8833,73.99,28,0,12.66,1619166676
US,Broome,42.2506,-75.833,30.99,69,1,9.22,1619166742
BR,Rio Claro,-22.4114,-47.5614,57.99,88,20,3.36,1619166742
EC,Manta,-0.95,-80.7333,73.4,88,40,5.75,1619166661
IS,Grindavik,63.8424,-22.4338,44.6,87,90,23.02,1619166744
GL,Nanortalik,60.1432,-45.2371,35.46,83,49,9.46,1619166620
PF,Tautira,-17.7333,-149.15,78.8,78,20,3.44,1619166745
AU,Karratha,-20.7377,116.8463,86.0,29,3,11.36,1619166745
FO,Klaksvík,62.2266,-6.589,41.0,100,90,9.22,1619166746
RU,Ust'ye,59.6304,39.736,57.27,60,72,15.17,1619166746
SJ,Longyearbyen,78.2186,15.6401,17.6,62,75,8.05,1619166747
RU,Srednekolymsk,67.45,153.6833,14.07,89,100,10.51,1619166747
RS,Predejane,42.8294,22.1311,54.0,76,75,11.5,1619166747
RU,Baykit,61.67,96.37,39.49,80,93,6.98,1619166734
OM,Muscat,23.6139,58.5922,100.4,19,0,11.5,1619166508
NO,Raudeberg,61.9875,5.1352,39.0,78,99,11.36,1619166750
CA,Chapais,49.7834,-74.8492,23.0,74,40,9.22,1619166750
RU,Deputatsky,69.3,139.9,6.19,96,54,2.28,1619166751
US,Gainesville,29.6516,-82.3248,54.0,87,1,6.91,1619166655
PH,Dingle,10.9995,122.6711,87.71,56,97,5.79,1619166751
RU,Romanovka,51.7443,42.7527,60.66,50,100,9.15,1619166752
CA,Hornepayne,49.2138,-84.7705,32.4,72,7,9.35,1619166754
ML,Taoudenni,22.6783,-3.9836,93.36,6,0,7.63,1619166754
PG,Mendi,-6.1761,143.6513,57.16,98,100,0.36,1619166755
JP,Hasaki,35.7333,140.8333,62.01,51,0,13.8,1619166755
RU,Severo-Kuril'sk,50.6789,156.125,34.5,93,100,2.04,1619166756
US,Kenai,60.5544,-151.2583,41.0,75,90,6.91,1619166606
MX,Ixtapa,20.7,-105.2,69.1,63,100,2.86,1619166756
DE,Hof,50.3167,11.9167,41.0,70,40,5.75,1619166757
US,State College,40.7934,-77.86,33.01,74,40,4.34,1619166506
GB,Margate,51.3813,1.3862,48.99,66,6,1.99,1619166620
MX,Lázaro Cárdenas,17.9583,-102.2,73.44,63,88,4.52,1619166758
GA,Gamba,-2.65,10.0,76.01,84,100,4.23,1619166758
BO,Pailón,-17.65,-62.75,75.2,94,90,9.22,1619166759
CL,Calama,-22.4667,-68.9333,42.8,45,0,13.8,1619166759
VE,San Cristobal,7.7669,-72.225,66.69,70,35,1.45,1619166760
MR,Atar,20.5169,-13.0499,80.37,18,0,11.36,1619166760
KZ,Zhangaözen,43.3,52.8,72.41,32,81,13.67,1619166760
US,Saint George,37.1041,-113.5841,59.0,24,1,3.44,1619166662
LY,Ubari,26.5921,12.7805,90.99,10,19,17.78,1619166762
CL,Coyhaique,-45.5752,-72.0662,42.64,96,87,4.09,1619166762
RU,Beringovskiy,63.05,179.3167,17.1,88,100,6.22,1619166763
ID,Bengkulu,-3.8004,102.2655,82.8,71,39,6.78,1619166763
RU,Ust-Maya,60.4167,134.5333,29.79,75,95,2.33,1619166763
CN,Guilin,25.2819,110.2864,86.0,62,40,4.47,1619166764
RU,Leshukonskoye,64.8989,45.7622,45.5,57,84,8.48,1619166764
PH,Alim,9.5649,122.4876,82.96,73,99,9.28,1619166765
VU,Sola,-13.8833,167.55,83.82,71,81,16.6,1619166765
ES,Carballo,43.213,-8.691,60.01,72,100,8.01,1619166766
NO,Årnes,60.1211,11.4663,43.0,36,0,19.57,1619166767
BR,Carutapera,-1.195,-46.02,73.49,96,96,4.03,1619166767
ZM,Zambezi,-13.5432,23.1047,80.89,43,9,8.61,1619166768
AU,Codrington,-38.2667,141.9667,55.45,77,100,7.9,1619166768
US,Mayo,38.8876,-76.5119,42.8,49,1,5.75,1619166769
NG,Tari,12.4086,4.4914,96.42,31,96,14.38,1619166769
GW,Bubaque,11.2833,-15.8333,77.95,65,65,9.44,1619166769
CA,Sioux Lookout,50.1001,-91.917,42.8,45,20,4.61,1619166770
US,North Bend,43.4065,-124.2243,44.6,93,90,4.61,1619166488
RU,Yerbogachën,61.2767,108.0108,35.94,74,100,10.02,1619166771
BR,São Gabriel da Cachoeira,-0.1303,-67.0892,72.7,98,100,1.68,1619166771
MU,Cap Malheureux,-19.9842,57.6142,82.99,70,99,5.01,1619166772
CA,Norman Wells,65.282,-126.8329,17.6,73,20,5.75,1619166773
LV,Strenči,57.6257,25.6854,37.0,92,100,5.01,1619166773
EC,Puerto Baquerizo Moreno,-0.9,-89.6,74.84,90,80,4.45,1619166774
PG,Kieta,-6.2167,155.6333,77.23,92,100,5.35,1619166774
AR,Necochea,-38.5473,-58.7368,61.0,98,100,1.01,1619166775
CN,Zhangye,38.9342,100.4517,54.52,29,100,21.88,1619166775
MU,Souillac,-20.5167,57.5167,80.6,78,75,4.61,1619166776
ML,Tessalit,20.1986,1.0114,95.18,5,0,9.62,1619166776
CL,Monte Patria,-30.6919,-70.9467,54.95,90,13,1.57,1619166776
IT,Oga,46.4631,10.347,63.0,60,0,1.14,1619166777
RU,Ola,59.5833,151.2833,31.23,97,100,13.09,1619166777
BR,Touros,-5.1989,-35.4608,73.4,100,40,3.44,1619166778
US,Lockport,41.5895,-88.0578,43.0,65,1,4.61,1619166778
ID,Ambon City,-3.6954,128.1814,87.8,66,40,5.75,1619166779
US,Ukiah,39.1502,-123.2078,50.0,76,1,2.8,1619166779
CV,Vila do Maio,15.1333,-23.2167,68.0,77,20,10.36,1619166779
JP,Hiratachō,35.4333,132.8167,60.8,67,75,19.57,1619166780
BR,Campo Formoso,-10.5075,-40.3214,67.82,95,79,2.64,1619166780
IN,Saiha,22.4833,92.9667,95.22,22,14,7.74,1619166781
RU,Tiksi,71.6872,128.8694,15.49,86,67,0.92,1619166781
NG,Wamba,8.9333,8.6,89.08,53,51,4.63,1619166782
BR,Tanhaçu,-14.0214,-41.2481,68.13,96,100,2.42,1619166782
NO,Sørland,67.667,12.6934,32.0,100,90,4.61,1619166783
PE,Celendín,-6.8703,-78.1517,51.35,89,79,1.97,1619166783
US,Nashua,42.7654,-71.4676,36.0,55,1,9.22,1619166783
CA,Ottawa,45.4112,-75.6981,37.0,64,75,9.22,1619166629
SY,Yabrūd,33.9674,36.6574,77.0,15,0,6.91,1619166784
RU,Mikhaylovka,50.06,43.2379,52.0,91,100,8.61,1619166785
GE,Khani,41.9563,42.9566,62.6,51,0,4.61,1619166786
US,Kirksville,40.1948,-92.5833,48.2,46,90,8.05,1619166787
NZ,Ahipara,-35.1667,173.1667,61.32,92,0,6.22,1619166788
RU,Noyabrsk,63.1994,75.4507,34.52,98,27,20.67,1619166554
AU,Nelson Bay,-32.7167,152.15,62.6,55,0,4.61,1619166789
CA,Hearst,49.6835,-83.6665,33.8,69,10,5.75,1619166790
TZ,Kaliua,-5.0606,31.7936,79.74,56,13,5.86,1619166790
PH,Panlaitan,12.1191,119.8486,83.5,70,51,8.68,1619166790
RU,Tyrma,50.0833,132.1667,48.38,50,100,7.56,1619166791
AU,Cowra,-33.8333,148.6833,55.0,64,52,3.0,1619166791
IN,Tura,25.5198,90.2201,93.06,19,0,7.58,1619166792
US,Pacific Grove,36.6177,-121.9166,52.0,76,90,5.75,1619166792
GB,Caernarfon,53.1413,-4.2702,57.2,24,0,4.61,1619166793
MR,Adrar,20.5022,-10.0711,81.25,11,0,12.21,1619166793
SO,Bandarbeyla,9.4942,50.8122,87.55,59,90,11.34,1619166794
JP,Wajima,37.4,136.9,59.0,51,0,8.05,1619166794
AU,Yulara,-25.2406,130.9889,77.0,25,3,10.36,1619166795
RU,Nazarovo,56.0064,90.3914,41.56,52,57,11.63,1619166795
BR,Monte Carmelo,-18.7247,-47.4986,57.06,61,0,4.25,1619166796
OM,Sur,22.5667,59.5289,96.06,30,0,9.44,1619166796
NZ,Hokitika,-42.7167,170.9667,53.85,86,43,2.19,1619166796
ES,Alcañiz,41.05,-0.1333,57.0,79,12,4.0,1619166797
IE,Skibbereen,51.55,-9.2667,48.2,81,75,18.41,1619166797
FR,Saint-François,46.4154,3.9054,53.6,43,0,5.75,1619166798
CN,Yumen,40.2833,97.2,52.77,25,97,27.27,1619166798
BR,Camaçari,-12.6975,-38.3242,77.0,88,75,1.21,1619166799
PH,San Policarpo,12.1791,125.5072,81.97,81,100,3.67,1619166799
LR,Harper,4.375,-7.7169,82.4,81,100,6.44,1619166782
PL,Błonie,52.1985,20.6171,46.99,99,26,15.46,1619166800
PE,San Jerónimo,-11.9472,-75.2829,42.12,93,68,0.43,1619166800
FR,Arrondissement de Fontenay-le-Comte,46.5833,-1.0,60.8,55,0,10.36,1619166801
ZM,Kaputa,-8.4689,29.6619,74.28,72,80,3.78,1619166801
MU,Quatre Cocos,-20.2078,57.7625,82.99,78,75,4.61,1619166802
AU,Batemans Bay,-35.7167,150.1833,57.99,74,1,4.5,1619166802
PH,Tambilil,5.9622,124.6697,89.6,55,40,5.75,1619166803
KM,Mitsamiouli,-11.3847,43.2844,81.95,73,95,19.71,1619166803
RU,Petropavlovka,50.6114,105.3196,40.71,37,100,10.78,1619166803
CN,Luzhou,28.8724,105.4405,78.55,67,52,7.65,1619166804
CL,Ancud,-41.8697,-73.8203,44.01,100,20,4.18,1619166804
IN,Chengam,12.3,78.8,86.68,55,65,7.87,1619166805
BR,Urucará,-2.5364,-57.76,72.0,98,100,2.68,1619166805
AM,Aygehovit,40.9795,45.2503,62.49,64,62,6.82,1619166806
RU,Aldan,58.6031,125.3894,27.82,84,100,16.58,1619166806
SD,Kutum,14.2,24.6667,90.61,12,47,15.48,1619166807
MN,Baruun-Urt,46.6806,113.2792,54.37,28,67,18.1,1619166807
MX,Tomatlán,19.9333,-105.25,67.95,70,92,3.06,1619166808
CF,Ouadda,8.0777,22.4007,94.17,33,20,9.13,1619166808
ID,Sabang,5.8933,95.3214,83.7,72,97,19.39,1619166809
ES,Los Llanos de Aridane,28.6585,-17.9182,69.8,73,20,4.61,1619166809
PH,Gigmoto,13.7796,124.39,83.37,79,80,1.52,1619166810
US,Hurricane,37.1753,-113.2899,59.0,24,1,3.44,1619166811
US,Saint Anthony,45.0205,-93.218,51.8,40,90,9.22,1619166811
GT,Champerico,14.3,-91.9167,64.99,98,86,1.61,1619166812
MM,Myanaung,18.2833,95.3167,105.96,20,6,5.75,1619166812
SY,Aleppo Governorate,36.25,37.5,76.24,22,0,1.45,1619166813
BR,Conde,-7.2597,-34.9075,73.4,94,20,4.61,1619166813
GL,Narsaq,60.9167,-46.05,37.4,70,75,3.44,1619166814
BR,Cabedelo,-6.9811,-34.8339,73.4,94,20,4.61,1619166815
AU,Port Keats,-14.25,129.55,84.52,65,95,7.2,1619166815
AU,Port Macquarie,-31.4333,152.9167,57.99,77,0,2.57,1619166686
SV,San Miguel,13.4833,-88.1833,75.9,65,6,1.72,1619166816
